"Symbol","Description","Category2","Category3","GICSSector","MarketCap","DividendYield","Country","Action"
"ABBV","Abbvie Inc","Common stocks","Large cap","Health Care","$237,738,254,718","4.06%","USA","Analyze"
"PEP","Pepsico Inc","Common stocks","Large cap","Consumer Staples","$237,716,480,352","2.51%","USA","Analyze"
"COST","Costco Wholesale Corp","Common stocks","Large cap","Consumer Staples","$231,270,955,673","0.65%","USA","Analyze"
"MRK","Merck & Co Inc","Common stocks","Large cap","Health Care","$216,240,767,569","3.15%","USA","Analyze"
"TMO","Thermo Fisher Scientific Inc","Common stocks","Large cap","Health Care","$213,650,356,758","0.21%","USA","Analyze"
"DIS","Walt Disney","Common stocks","Large cap","Communication Services","$204,328,315,646","0.00%","USA","Analyze"
"AVGO","Broadcom Inc.","Common stocks","Large cap","Information Technology","$201,549,452,247","3.88%","USA","Analyze"
"ORCL","Oracle Corp","Common stocks","Large cap","Information Technology","$197,604,262,900","1.72%","USA","Analyze"
"DHR","Danaher Corp","Common stocks","Large cap","Health Care","$196,344,775,768","0.34%","USA","Analyze"
"ACN","Accenture Plc Class A","Common stocks","Large cap","Information Technology","$191,591,754,133","1.34%","USA","Analyze"
"MCD","Mcdonalds Corp","Common stocks","Large cap","Consumer Discretionary","$185,606,753,128","2.17%","USA","Analyze"
"CSCO","Cisco Systems Inc","Common stocks","Large cap","Information Technology","$185,183,911,735","3.34%","USA","Analyze"
"TMUS","T Mobile US Inc","Common stocks","Large cap","Communication Services","$180,531,776,335","0.00%","USA","Analyze"
"ABT","Abbott Laboratories","Common stocks","Large cap","Health Care","$179,762,706,619","1.80%","USA","Analyze"
"VZ","Verizon Communications Inc","Common stocks","Large cap","Communication Services","$175,590,070,604","7.49%","USA","Analyze"
"ADBE","Adobe Inc","Common stocks","Large cap","Information Technology","$174,769,920,000","0.00%","USA","Analyze"
"NEE","Nextera Energy Inc","Common stocks","Large cap","Utilities","$167,124,117,306","1.94%","USA","Analyze"
"WFC","Wells Fargo","Common stocks","Large cap","Financials","$165,794,194,038","2.27%","USA","Analyze"
"CMCSA","Comcast A Corp","Common stocks","Large cap","Communication Services","$159,373,304,136","2.86%","USA","Analyze"
"CRM","Salesforce.Com Inc","Common stocks","Large cap","Information Technology","$156,120,000,000","0.00%","USA","Analyze"
"TXN","Texas Instrument Inc","Common stocks","Large cap","Information Technology","$150,953,593,772","2.76%","USA","Analyze"
"QCOM","Qualcomm Inc","Common stocks","Large cap","Information Technology","$148,539,210,000","2.15%","USA","Analyze"
"PM","Philip Morris International Inc","Common stocks","Large cap","Consumer Staples","$148,025,096,191","5.14%","USA","Analyze"
"MS","Morgan Stanley","Common stocks","Large cap","Financials","$146,307,937,883","3.33%","USA","Analyze"
"BMY","Bristol Myers Squibb","Common stocks","Large cap","Health Care","$143,937,550,201","3.10%","USA","Analyze"
"UPS","United Parcel Service Inc Class B","Common stocks","Large cap","Industrials","$142,352,957,330","2.84%","USA","Analyze"
"COP","ConocoPhillips","Common stocks","Large cap","Energy","$141,568,052,919","2.74%","USA","Analyze"
"LIN","Linde Plc","Common stocks","Large cap","Materials","$140,967,690,222","1.57%","USA","Analyze"
"UNP","Union Pacific Corp","Common stocks","Large cap","Industrials","$140,201,689,139","2.19%","USA","Analyze"
"AMD","Advanced Micro Devices Inc","Common stocks","Large cap","Information Technology","$137,007,414,783","0.00%","USA","Analyze"
"NKE","Nike Inc Class B","Common stocks","Large cap","Consumer Discretionary","$134,515,824,912","0.86%","USA","Analyze"
"RTX","Raytheon Technologies Corporation","Common stocks","Large cap","Industrials","$132,517,135,629","2.34%","USA","Analyze"
"INTC","Intel Corporation Corp","Common stocks","Large cap","Information Technology","$131,063,520,000","4.46%","USA","Analyze"
"SCHW","Charles Schwab Corporation","Common stocks","Large cap","Financials","$128,972,493,594","1.12%","USA","Analyze"
"CVS","CVS Health Corp","Common stocks","Large cap","Health Care","$128,854,147,407","2.17%","USA","Analyze"
"AMGN","Amgen Inc","Common stocks","Large cap","Health Care","$128,543,883,255","3.12%","USA","Analyze"
"HON","Honeywell International Inc","Common stocks","Large cap","Industrials","$127,563,640,224","2.05%","USA","Analyze"
"T","AT&T Inc.","Common stocks","Large cap","Communication Services","$125,060,200,000","7.48%","USA","Analyze"
"INTU","Intuit Inc","Common stocks","Large cap","Information Technology","$121,795,217,854","0.63%","USA","Analyze"
"LOW","Lowes Companies Inc","Common stocks","Large cap","Consumer Discretionary","$120,502,808,077","1.77%","USA","Analyze"
"AMT","American Tower Corporation","REITs","Large cap","Real Estate","$118,282,353,977","2.16%","USA","Analyze"
"SPGI","S&P Global Inc","Common stocks","Large cap","Financials","$117,452,030,000","0.92%","USA","Analyze"
"MDT","Medtronic Plc","Common stocks","Large cap","Health Care","$116,905,733,844","2.89%","USA","Analyze"
"ELV","Elevance Health, Inc.","Common stocks","Large cap","Health Care","$116,426,736,666","0.99%","USA","Analyze"
"ANTM","Anthem Inc","Common stocks","Large cap","Materials","$116,342,693,132","0.99%","USA","Analyze"
"IBM","International Business Machines Co","Common stocks","Large cap","Information Technology","$116,013,516,343","5.03%","USA","Analyze"
"AXP","American Express","Common stocks","Large cap","Financials","$113,961,663,928","1.24%","USA","Analyze"
"GS","Goldman Sachs Group Inc","Common stocks","Large cap","Financials","$113,558,877,233","2.54%","USA","Analyze"
"DE","Deere & Company","Common stocks","Large cap","Industrials","$111,633,429,198","1.17%","USA","Analyze"
"LMT","Lockheed Martin Corp","Common stocks","Large cap","Industrials","$111,393,097,884","2.65%","USA","Analyze"
"PYPL","Paypal Holdings Inc","Common stocks","Large cap","Information Technology","$108,061,105,667","0.00%","USA","Analyze"
"ADP","Automatic Data Processing Inc","Common stocks","Large cap","Industrials","$101,556,506,059","1.65%","USA","Analyze"
"BLK","Blackrock Inc","Common stocks","Large cap","Financials","$100,470,779,982","2.68%","USA","Analyze"
"NFLX","Netflix Inc","Common stocks","Large cap","Communication Services","$98,767,691,988","0.00%","USA","Analyze"
"CAT","Caterpillar Inc","Common stocks","Large cap","Industrials","$97,510,097,804","2.43%","USA","Analyze"
"SBUX","Starbucks Corp","Common stocks","Large cap","Consumer Discretionary","$96,461,918,000","2.31%","USA","Analyze"
"BA","Boeing","Common stocks","Large cap","Industrials","$95,158,239,832","0.00%","USA","Analyze"
"C","Citigroup Inc","Common stocks","Large cap","Financials","$94,530,796,699","4.12%","USA","Analyze"
"PLD","Prologis, Inc","REITs","Large cap","Real Estate","$92,184,464,780","2.26%","USA","Analyze"
"NOW","Servicenow Inc","Common stocks","Large cap","Information Technology","$87,793,240,000","0.00%","USA","Analyze"
"CI","Cigna Corp","Common stocks","Large cap","Health Care","$86,485,187,457","1.49%","USA","Analyze"
"MDLZ","Mondelez International Inc","Common stocks","Large cap","Consumer Staples","$84,783,219,750","2.24%","USA","Analyze"
"DUK","Duke Energy Corp","Common stocks","Large cap","Utilities","$82,310,060,531","3.65%","USA","Analyze"
"SO","Southern Co","Common stocks","Large cap","Utilities","$81,925,511,732","3.43%","USA","Analyze"
"MO","Altria Group Inc","Common stocks","Large cap","Consumer Staples","$81,253,151,041","7.76%","USA","Analyze"
"MMC","Marsh & McLennan Inc","Common stocks","Large cap","Financials","$80,993,817,642","1.35%","USA","Analyze"
"AMAT","Applied Material Inc","Common stocks","Large cap","Information Technology","$80,929,303,094","1.31%","USA","Analyze"
"GE","General Electric","Common stocks","Large cap","Industrials","$80,530,859,811","0.44%","USA","Analyze"
"GILD","Gilead Sciences Inc","Common stocks","Large cap","Health Care","$79,551,228,497","4.46%","USA","Analyze"
"CB","Chubb Ltd","Common stocks","Large cap","Financials","$78,955,107,426","1.70%","USA","Analyze"
"ADI","Analog Devices Inc","Common stocks","Large cap","Information Technology","$77,938,172,192","1.95%","USA","Analyze"
"SYK","Stryker Corp","Common stocks","Large cap","Health Care","$77,597,217,216","1.32%","USA","Analyze"
"BKNG","Booking Holdings Inc","Common stocks","Large cap","Consumer Discretionary","$74,481,377,061","0.00%","USA","Analyze"
"CCI","Crown Castle International Corp.","REITs","Large cap","Real Estate","$73,976,097,469","3.32%","USA","Analyze"
"NOC","Northrop Grumman Corp","Common stocks","Large cap","Industrials","$73,950,453,809","1.37%","USA","Analyze"
"TGT","Target Corp","Common stocks","Large cap","Consumer Discretionary","$73,798,510,094","2.34%","USA","Analyze"
"ISRG","Intuitive Surgical Inc","Common stocks","Large cap","Health Care","$73,472,056,642","0.00%","USA","Analyze"
"ZTS","Zoetis Inc","Common stocks","Large cap","Health Care","$73,277,730,049","0.78%","USA","Analyze"
"TJX","TJX Companies, Inc.","Common stocks","Large cap","Consumer Discretionary","$72,391,652,118","1.77%","USA","Analyze"
"VRTX","Vertex Pharmaceuticals Inc","Common stocks","Large cap","Health Care","$72,260,023,648","0.00%","USA","Analyze"
"BDX","Becton Dickinson","Common stocks","Large cap","Health Care","$71,988,950,171","1.33%","USA","Analyze"
"PGR","Progressive Corp","Common stocks","Large cap","Financials","$71,739,849,893","1.54%","USA","Analyze"
"EOG","EOG Resources Inc","Common stocks","Large cap","Energy","$71,087,200,519","2.14%","USA","Analyze"
"MMM","3M","Common stocks","Large cap","Industrials","$70,830,248,447","4.71%","USA","Analyze"
"CME","CME Group Inc Class A","Common stocks","Large cap","Financials","$70,308,747,226","1.93%","USA","Analyze"
"WM","Waste Management Inc","Common stocks","Large cap","Industrials","$69,866,135,906","1.44%","USA","Analyze"
"D","Dominion Energy Inc","Common stocks","Large cap","Utilities","$68,098,728,795","3.13%","USA","Analyze"
"CSX","CSX Corp","Common stocks","Large cap","Industrials","$67,770,281,954","1.24%","USA","Analyze"
"USB","US Bancorp","Common stocks","Large cap","Financials","$67,766,609,517","3.98%","USA","Analyze"
"OXY","Occidental Petroleum Corp","Common stocks","Large cap","Energy","$66,540,559,722","0.39%","USA","Analyze"
"CHTR","Charter Communications Inc Class A","Common stocks","Large cap","Communication Services","$66,290,967,842","0.00%","USA","Analyze"
"BX","Blackstone Group Inc. Class A","Common stocks","Large cap","Financials","$65,915,197,975","5.37%","USA","Analyze"
"CL","Colgate-Palmolive","Common stocks","Large cap","Consumer Staples","$65,236,538,652","2.33%","USA","Analyze"
"PNC","PNC Financial Services Group, Inc.","Common stocks","Large cap","Financials","$64,799,592,632","3.44%","USA","Analyze"
"FISV","Fiserv Inc","Common stocks","Large cap","Information Technology","$64,719,540,174","0.00%","USA","Analyze"
"GD","General Dynamics Corp","Common stocks","Large cap","Industrials","$62,783,187,145","2.12%","USA","Analyze"
"MU","Micron Technology Inc","Common stocks","Large cap","Information Technology","$62,360,792,955","0.73%","USA","Analyze"
"REGN","Regeneron Pharmaceuticals Inc","Common stocks","Large cap","Health Care","$62,283,923,667","0.00%","USA","Analyze"
"TFC","Truist Financial Corporation","Common stocks","Large cap","Financials","$62,128,268,121","4.12%","USA","Analyze"
"ATVI","Activision Blizzard Inc","Common stocks","Large cap","Communication Services","$61,403,244,406","0.60%","USA","Analyze"
"PXD","Pioneer Natural Resource","Common stocks","Large cap","Energy","$61,268,854,182","1.00%","USA","Analyze"
"HUM","Humana Inc","Common stocks","Large cap","Health Care","$60,971,040,622","0.62%","USA","Analyze"
"ITW","Illinois Tool Inc","Common stocks","Large cap","Industrials","$60,323,597,564","2.48%","USA","Analyze"
"F","Ford Motor Company","Common stocks","Large cap","Consumer Discretionary","$60,188,634,136","2.92%","USA","Analyze"
"SHW","Sherwin Williams","Common stocks","Large cap","Materials","$60,156,386,601","1.01%","USA","Analyze"
"LRCX","Lam Research Corp","Common stocks","Large cap","Information Technology","$59,988,323,995","1.36%","USA","Analyze"
"EQIX","Equinix, Inc.","REITs","Large cap","Real Estate","$59,870,094,363","1.84%","USA","Analyze"
"AON","Aon Plc","Common stocks","Large cap","Financials","$58,903,071,048","0.76%","USA","Analyze"
"EL","Estee Lauder Inc Class A","Common stocks","Large cap","Consumer Discretionary","$58,853,756,431","0.94%","USA","Analyze"
"PSA","Public Storage","REITs","Large cap","Real Estate","$58,070,238,559","2.30%","USA","Analyze"
"BSX","Boston Scientific Corp","Common stocks","Large cap","Health Care","$57,626,015,032","0.00%","USA","Analyze"
"SNOW","Snowflake Inc. Class A","Common stocks","Large cap","Information Technology","$57,557,211,677","0.00%","USA","Analyze"
"NSC","Norfolk Southern Corp","Common stocks","Large cap","Industrials","$57,104,830,768","1.96%","USA","Analyze"
"HCA","HCA Healthcare, Inc.","Common stocks","Large cap","Health Care","$56,793,597,176","1.05%","USA","Analyze"
"ICE","Intercontinental Exchange Inc","Common stocks","Large cap","Financials","$56,320,511,991","1.40%","USA","Analyze"
"APD","Air Products And Chemicals Inc","Common stocks","Large cap","Materials","$55,993,153,006","2.45%","USA","Analyze"
"EW","Edwards Lifesciences Corp","Common stocks","Large cap","Health Care","$55,856,870,427","0.00%","USA","Analyze"
"GM","General Motors","Common stocks","Large cap","Consumer Discretionary","$55,712,050,685","0.24%","USA","Analyze"
"FIS","Fidelity National Information Services","Common stocks","Large cap","Information Technology","$55,551,000,662","1.87%","USA","Analyze"
"PANW","Palo Alto Networks Inc","Common stocks","Large cap","Information Technology","$55,477,981,506","0.00%","USA","Analyze"
"FDX","FedEx Corporation","Common stocks","Large cap","Industrials","$54,791,132,540","1.60%","USA","Analyze"
"ETN","Eaton Corporation, PLC","Common stocks","Large cap","Industrials","$54,423,712,000","2.32%","USA","Analyze"
"KDP","Keurig Dr Pepper Inc.","Common stocks","Large cap","Consumer Staples","$53,980,598,006","1.95%","USA","Analyze"
"SLB","Schlumberger Nv","Common stocks","Large cap","Energy","$53,958,912,272","1.11%","USA","Analyze"
"DG","Dollar General Corp","Common stocks","Large cap","Industrials","$53,555,239,899","0.81%","USA","Analyze"
"UBER","Uber Technologies, Inc.","Common stocks","Large cap","Industrials","$53,519,657,797","0.00%","USA","Analyze"
"SNPS","Synopsys Inc","Common stocks","Large cap","Information Technology","$52,910,383,251","0.00%","USA","Analyze"
"MCK","Mckesson Corp","Common stocks","Large cap","Health Care","$52,749,076,985","0.53%","USA","Analyze"
"MRNA","Moderna, Inc.","Common stocks","Large cap","Health Care","$52,611,651,314","0.00%","USA","Analyze"
"MET","Metlife Inc","Common stocks","Large cap","Financials","$52,313,537,220","3.01%","USA","Analyze"
"MCO","Moodys Corp","Common stocks","Large cap","Financials","$52,209,420,000","0.95%","USA","Analyze"
"SRE","Sempra Energy","Common stocks","Large cap","Real Estate","$51,851,775,305","3.34%","USA","Analyze"
"AEP","American Electric Power Inc","Common stocks","Large cap","Utilities","$51,476,145,197","3.08%","USA","Analyze"
"CNC","Centene Corp","Common stocks","Large cap","Health Care","$51,293,664,851","0.00%","USA","Analyze"
"MPC","Marathon Petroleum Corp","Common stocks","Large cap","Energy","$50,236,373,541","2.28%","USA","Analyze"
"MAR","Marriott International Inc","Common stocks","Large cap","Consumer Discretionary","$49,896,525,779","0.39%","USA","Analyze"
"ADM","Archer-Daniels-Midland Company","Common stocks","Large cap","Financials","$49,267,756,299","1.77%","USA","Analyze"
"VMW","VMWare Inc Class A","Common stocks","Large cap","Information Technology","$48,900,307,673","0.00%","USA","Analyze"
"KLAC","KLA-Tencor Corporation","Common stocks","Large cap","Information Technology","$48,798,933,435","1.29%","USA","Analyze"
"EMR","Emerson Electric","Common stocks","Large cap","Industrials","$48,332,862,000","2.50%","USA","Analyze"
"CDNS","Cadence Design Systems Inc","Common stocks","Large cap","Information technology","$47,590,389,900","0.00%","USA","Analyze"
"MNST","Monster Beverage Corp","Common stocks","Large cap","Consumer Staples","$46,803,238,521","0.00%","USA","Analyze"
"ECL","Ecolab Inc","Common stocks","Large cap","Materials","$46,689,781,947","1.22%","USA","Analyze"
"STZ","Constellation Brands Class A","Common stocks","Large cap","Consumer Staples","$46,490,941,721","1.26%","USA","Analyze"
"DVN","Devon Energy Corp","Common stocks","Large cap","Energy","$46,241,976,000","4.49%","USA","Analyze"
"VLO","Valero Energy Corp","Common stocks","Large cap","Energy","$46,141,806,455","3.30%","USA","Analyze"
"KHC","Kraft Heinz","Common stocks","Large cap","Consumer Staples","$45,831,446,538","4.21%","USA","Analyze"
"GIS","General Mills Inc","Common stocks","Large cap","Consumer Staples","$45,750,549,427","2.67%","USA","Analyze"
"ABNB","Airbnb, Inc.","Common stocks","Large cap","Consumer Discretionary","$45,153,770,474","0.00%","USA","Analyze"
"RSG","Republic Services Inc","Common stocks","Large cap","Industrials","$45,090,001,860","1.28%","USA","Analyze"
"CTVA","Corteva, Inc.","Common stocks","Large cap","Materials","$44,456,891,000","0.92%","USA","Analyze"
"PAYX","Paychex Inc","Common stocks","Large cap","Information Technology","$44,390,915,566","2.33%","USA","Analyze"
"CMG","Chipotle Mexican Grill Inc","Common stocks","Large cap","Consumer Discretionary","$44,334,588,330","0.00%","USA","Analyze"
"ORLY","Oreilly Automotive Inc","Common stocks","Large cap","Consumer Discretionary","$44,140,448,416","0.00%","USA","Analyze"
"ADSK","Autodesk Inc","Common stocks","Large cap","Information Technology","$43,832,494,637","0.00%","USA","Analyze"
"APH","Amphenol Corp","Common stocks","Large cap","Health Care","$43,737,713,649","1.01%","USA","Analyze"
"LHX","L3Harris Technologies, Inc.","Common stocks","Large cap","Industrials","$43,664,876,896","1.86%","USA","Analyze"
"KKR","KKR & Co Inc.","Common stocks","Large cap","Financials","$43,473,004,800","0.31%","USA","Analyze"
"KMB","Kimberly Clark Corp","Common stocks","Large cap","Consumer Staples","$43,053,594,166","3.56%","USA","Analyze"
"EXC","Exelon Corp","Common stocks","Large cap","Utilities","$43,052,544,665","2.90%","USA","Analyze"
"PSX","Phillips 66","Common stocks","Large cap","Energy","$43,034,831,138","4.16%","USA","Analyze"
"ROP","Roper Technologies Inc","Common stocks","Large cap","Information Technology","$42,677,361,676","0.60%","USA","Analyze"
"FCX","Freeport-McMoRan, Inc.","Common stocks","Large cap","Materials","$42,306,401,294","1.01%","USA","Analyze"
"SYY","Sysco Corp","Common stocks","Large cap","Consumer Staples","$41,612,392,401","2.29%","USA","Analyze"
"WMB","Williams Inc","Common stocks","Large cap","Energy","$41,466,580,052","4.82%","USA","Analyze"
"AZO","Autozone Inc","Common stocks","Large cap","Consumer Discretionary","$41,298,314,677","0.00%","USA","Analyze"
"KMI","Kinder Morgan Inc","Common stocks","Large cap","Energy","$41,274,975,261","5.84%","USA","Analyze"
"CTAS","Cintas Corp","Common stocks","Large cap","Industrials","$41,167,360,908","0.98%","USA","Analyze"
"O","Realty Income Corporation","REITs","Large cap","Real Estate","$41,077,132,334","4.24%","USA","Analyze"
"MSI","Motorola Solutions Inc","Common stocks","Large cap","Information Technology","$40,721,760,579","1.26%","USA","Analyze"
"COF","Capital One Financial Corp","Common stocks","Large cap","Financials","$40,615,591,236","2.25%","USA","Analyze"
"XEL","Xcel Energy Inc","Common stocks","Large cap","Utilities","$40,614,106,253","2.52%","USA","Analyze"
"LNG","Cheniere Energy Inc","Common stocks","Large cap","Energy","$40,010,198,012","0.82%","USA","Analyze"
"MRVL","Marvell Technology Group Ltd","Common stocks","Large cap","Information Technology","$39,918,732,000","0.51%","USA","Analyze"
"IQV","IQVIA Holdings, Inc.","Common stocks","Large cap","Health Care","$39,662,776,394","0.00%","USA","Analyze"
"AIG","American International Group Inc","Common stocks","Large cap","Financials","$39,351,535,400","2.45%","USA","Analyze"
"CRWD","CrowdStrike Holdings, Inc. - Class A","Common stocks","Large cap","Information Technology","$38,972,388,259","0.00%","USA","Analyze"
"ENPH","Enphase Energy Inc","Common stocks","Large cap","Information Technology","$38,800,381,851","0.00%","USA","Analyze"
"FTNT","Fortinet Inc","Common stocks","Large cap","Information Technology","$38,393,076,097","0.00%","USA","Analyze"
"TRV","Travelers Companies Inc","Common stocks","Large cap","Financials","$38,359,292,555","2.19%","USA","Analyze"
"A","Agilent Technologies Inc","Common stocks","Large cap","Health Care","$38,309,308,182","0.64%","USA","Analyze"
"AJG","Arthur J Gallagher","Common stocks","Large cap","Financials","$38,190,707,520","1.09%","USA","Analyze"
"AFL","Aflac Inc","Common stocks","Large cap","Financials","$37,548,477,123","2.55%","USA","Analyze"
"HES","Hess Corp","Common stocks","Large cap","Energy","$37,395,288,347","1.03%","USA","Analyze"
"JCI","Johnson Controls International Plc","Common stocks","Large cap","Industrials","$37,292,189,480","2.40%","USA","Analyze"
"LULU","Lululemon Athletica Inc","Common stocks","Large cap","Consumer Discretionary","$36,694,226,784","0.00%","USA","Analyze"
"DOW","Dow Inc.","Common stocks","Large cap","Materials","$36,626,541,327","5.39%","USA","Analyze"
"ANET","Arista Networks Inc","Common stocks","Large cap","Information Technology","$36,477,141,305","0.00%","USA","Analyze"
"SCCO","Southern Copper Corp","Common stocks","Large cap","Materials","$36,389,462,516","8.26%","Peru","Analyze"
"MSCI","MSCI Inc","Common stocks","Large cap","Financials","$36,165,140,766","0.97%","USA","Analyze"
"MCHP","Microchip Technology Inc","Common stocks","Large cap","Information Technology","$36,049,593,528","1.62%","USA","Analyze"
"TEAM","Atlassian Plc Class A","Common stocks","Large cap","Information Technology","$35,883,890,557","0.00%","United Kingdom","Analyze"
"SQ","Square Inc Class A","Common stocks","Large cap","Information Technology","$35,751,016,556","0.00%","USA","Analyze"
"TT","Trane Technologies plc","Common stocks","Large cap","Industrials","$35,700,694,117","1.63%","USA","Analyze"
"PRU","Prudential Financial Inc","Common stocks","Large cap","Financials","$35,619,000,000","4.88%","USA","Analyze"
"DLR","Digital Realty Trust, Inc","REITs","Large cap","Real Estate","$35,532,231,506","3.80%","USA","Analyze"
"EA","Electronic Arts Inc","Common stocks","Large cap","Communication Services","$35,275,610,383","0.57%","USA","Analyze"
"SBAC","SBA Communications Corporation","REITs","Large cap","Real Estate","$35,087,431,061","0.83%","USA","Analyze"
"HLT","Hilton Worldwide Holdings Inc","Common stocks","Large cap","Consumer Discretionary","$34,933,242,118","0.24%","USA","Analyze"
"NUE","Nucor Corp","Common stocks","Large cap","Materials","$34,801,754,931","1.42%","USA","Analyze"
"WELL","Welltower Inc","REITs","Large cap","Real Estate","$34,796,629,877","1.59%","USA","Analyze"
"ED","Consolidated Edison Inc","Common stocks","Large cap","Utilities","$34,656,853,086","3.18%","USA","Analyze"
"BF.B","Brown Forman Inc Class B","Common stocks","Large cap","Consumer Staples","$34,468,477,054","1.01%","USA","Analyze"
"BF.A","Brown Forman Inc Class A","Common stocks","Large cap","Consumer Staples","$34,468,477,054","1.04%","USA","Analyze"
"GPN","Global Payments Inc","Common stocks","Large cap","Information Technology","$34,431,945,576","0.80%","USA","Analyze"
"KR","Kroger","Common stocks","Large cap","Consumer Staples","$34,303,964,665","1.84%","USA","Analyze"
"PH","Parker-Hannifin Corp","Common stocks","Large cap","Industrials","$34,026,794,205","1.77%","USA","Analyze"
"BK","Bank Of New York Mellon Corp","Common stocks","Large cap","Financials","$33,560,526,851","3.31%","USA","Analyze"
"SPG","Simon Property Group, Inc","REITs","Large cap","Real Estate","$33,383,328,100","6.25%","USA","Analyze"
"WDAY","Workday Inc","Common stocks","Large cap","Information Technology","$33,076,560,000","0.00%","USA","Analyze"
"HSY","Hershey Foods","Common stocks","Large cap","Consumer Staples","$32,997,204,715","1.65%","USA","Analyze"
"CARR","Carrier Global Corporation","Common stocks","Large cap","Industrials","$32,922,744,799","1.45%","USA","Analyze"
"NEM","Newmont Corporation","Common stocks","Large cap","Information Technology","$32,826,624,860","5.26%","USA","Analyze"
"CTSH","Cognizant Technology Solutions","Common stocks","Large cap","Information Technology","$32,708,473,839","1.65%","USA","Analyze"
"MTB","M&T Bank Corp","Common stocks","Large cap","Financials","$32,614,504,061","2.62%","USA","Analyze"
"ALL","Allstate Corp","Common stocks","Large cap","Financials","$32,570,618,354","2.76%","USA","Analyze"
"TDG","Transdigm Group Inc","Common stocks","Large cap","Industrials","$32,561,945,116","0.00%","USA","Analyze"
"WEC","WEC Energy Group Inc","Common stocks","Large cap","Utilities","$32,533,917,527","2.74%","USA","Analyze"
"DXCM","Dexcom Inc","Common stocks","Large cap","Health Care","$32,274,147,805","0.00%","USA","Analyze"
"RMD","Resmed Inc","Common stocks","Large cap","Health Care","$32,201,781,822","0.77%","USA","Analyze"
"WBD","Warner Bros. Discovery, Inc. - Series A","Common stocks","Large cap","Communication Services","$32,141,329,480","0.00%","USA","Analyze"
"PEG","Public Service Enterprise Group Inc","Common stocks","Large cap","Utilities","$32,106,638,675","3.23%","USA","Analyze"
"GFS","GlobalFoundries Inc","Common stocks","Large cap","Information Technology","$31,815,012,406","0.00%","USA","Analyze"
"VICI","VICI Properties Inc","REITs","Large cap","Real Estate","$31,772,452,058","4.28%","USA","Analyze"
"ILMN","Illumina Inc","Common stocks","Large cap","Health Care","$31,677,644,000","0.00%","USA","Analyze"
"YUM","Yum Brands Inc","Common stocks","Large cap","Consumer Discretionary","$31,652,504,808","1.97%","USA","Analyze"
"ALB","Albemarle Corp","Common stocks","Large cap","Materials","$31,385,823,333","0.58%","USA","Analyze"
"ES","Eversource Energy","Common stocks","Large cap","Utilities","$31,072,501,012","2.77%","USA","Analyze"
